date,HO1,HO2,HO3,HO4,HO5,HO6,HO7,HO8,HO9,HO10,HO11,HO12,HO13,HO14,HO15
2015-12-02,0.960174418797534,1.04594492066206,1.161161194729437,1.2425295376918333,1.275217574861939,1.295526028633326,1.3404064726055334,1.3703672793358088,1.386247476242341,1.4043968037360017,1.4166862315055784,1.4111589473560917,1.3794521219927616,1.3692413611569219,1.380639799001038
2015-12-03,0.999688072172833,1.0848576106515082,1.1999320399458204,1.2809545579580799,1.3113258861214707,1.3295995356081278,1.3743254373706646,1.4045652253277583,1.420537278955031,1.4386503843149285,1.450824375989604,1.4446768499229836,1.4117455000582442,1.4011005121151914,1.4127600481221927
2015-12-04,0.9877677521601729,1.0722520913591518,1.1872076876611484,1.2677544333489692,1.2970653885101113,1.3143030956490098,1.3579733193709456,1.3877017753758054,1.4036272392611016,1.4218520530173178,1.434363243306896,1.4285624736889009,1.395999142158546,1.3860047160688487,1.397717507211459
2015-12-07,0.9415581165555403,1.0215951287370728,1.1331505400356623,1.2127840514151385,1.243588522467514,1.262551667044808,1.3059268637946972,1.3356982872558159,1.3523334521895158,1.3710816774195114,1.3844186702809516,1.3796668520871989,1.349560730725538,1.3415072242345714,1.3542711096398696
2015-12-08,0.9265473432062648,1.0066407549181902,1.1176934409515975,1.198046925995378,1.2296022651948346,1.2492703269605439,1.2933123727663427,1.3233568797490793,1.3403085350738329,1.3597263808440314,1.374130462354259,1.3704586370962946,1.3413761831166555,1.3344859237479003,1.3486965209494213
2015-12-09,0.9116101520792894,0.99192126655196,1.1026633335549378,1.184123506887138,1.2169872096155552,1.2380040867511335,1.2825666952236703,1.3132764934649508,1.3307261792472729,1.3506233744983989,1.3653387210350851,1.3619870793046627,1.3336364478778209,1.3277279220294795,1.3426795045851279
2015-12-10,0.9014558054018385,0.9815080114843612,1.0918177446948483,1.1735453248373713,1.2064746632994892,1.2278369919280072,1.2721947803781342,1.3022540150047357,1.319170985456421,1.3386111599392134,1.3535540465008735,1.3508451391656684,1.3234057633667176,1.3182491663724738,1.3338309511082258
2015-12-11,0.8429579386730438,0.9247440270933145,1.0351132486074506,1.1175804129672378,1.1538205182729315,1.1787418313406584,1.22547444323608,1.2576930550758316,1.2757685502420026,1.2955361092933848,1.3105306315347043,1.3085794323574174,1.2831057626403715,1.279719779951867,1.29640156990093
2015-12-14,0.8591460275791253,0.9440829293617125,1.053388492828389,1.1393696597535095,1.1742971302277039,1.199350807333482,1.2460313915785837,1.2776654092088713,1.2942756492403584,1.3110206046235846,1.3243729476542543,1.3231284120430462,1.2922688974633596,1.2812995725613678,1.2921542642320167
2015-12-15,0.8427921139886151,0.9266836144644056,1.0419213203821038,1.1269112104611245,1.1627535034291867,1.1864299450765052,1.2331461433208073,1.266098945803151,1.2841577126763053,1.3037366612075931,1.3182289535291578,1.3155890634587923,1.2900059152962857,1.286769161552461,1.3040079810978593
