date,NG1,NG2,NG3,NG4,NG5,NG6,NG7,NG8,NG9,NG10,NG11,NG12,NG13,NG14,NG15
2021-10-26,11.328094802662104,13.854063280445601,10.64023726349457,7.160153016676046,5.5536848139139945,4.933160467783289,5.187559186213896,5.641365881314941,4.258797054345816,3.3307679725044537,3.3778580784606773,3.8654639623271527,3.649303309771238,3.7500367913482187,3.5722175260646405
2021-10-27,11.696073894202852,14.27243643711752,10.944498228721587,7.328237704245179,5.615700301263474,4.977875543066969,5.230431576182606,5.6807589972692245,4.28955389392944,3.356562884198583,3.4054589375492776,3.8946166483498885,3.675831639147131,3.77677502158956,3.592630197642153
2021-10-28,10.911051832249255,13.349286971852312,10.248790407646942,6.899112403405801,5.47451610665934,4.878777268113949,5.129555364491524,5.576163482494063,4.211636566984259,3.2977182418963507,3.3478218494524956,3.831756169113364,3.621116959809352,3.72496970049696,3.549355333897827
2021-10-29,10.239254106154352,12.571658604559943,9.666958035546152,6.551482708660546,5.339929304326428,4.779678993160929,5.02994010544658,5.475643117645204,4.13679492399744,3.238873599594118,3.2877493914361318,3.7716287541914704,3.570547331936557,3.673999949099402,3.501997935837998
2021-11-01,9.786356762719585,12.062334761655,9.255938836906145,6.254787767724122,5.136729622372815,4.591150567640549,4.837014350587386,5.270527238021184,3.979935042120958,3.115541678056562,3.1619219455910454,3.6295094098306326,3.4428797468150725,3.5469933554530275,3.381154920099126
2021-11-02,10.458154488814488,12.824046758856587,9.82531608177542,6.62915820821901,5.364999394957069,4.779678993160929,5.02994010544658,5.474284734336436,4.1347444680251995,3.23484314464191,3.2812550716505786,3.7579634326183133,3.5539671260766235,3.655617415808479,3.4701541681770793
2021-11-03,10.699699738646364,13.142374160672178,10.061963499174212,6.760315199276743,5.41513957621835,4.7965982108358345,5.036244868677273,5.472926351027668,4.1357696960113195,3.237261417613235,3.285314021516549,3.759785475494734,3.5572831672486105,3.657288555198563,3.4693376613139786
2021-11-04,10.786505062804695,13.246967449840156,10.127797743112222,6.8112499530855715,5.458682365208409,4.850981410505176,5.091726785107369,5.535411983231012,4.1849806393451185,3.2767598761448706,3.3242799402298666,3.8007814402142066,3.5945886304334596,3.6965603308655344,3.509346497605903
2021-11-05,10.409090609942389,12.79221401867503,9.775495572849357,6.571856610184078,5.412500619309862,4.829228130637439,5.0702905901230135,5.515036233599486,4.1675517635810655,3.2606380563360395,3.305608770846402,3.777094882820734,3.571376342229553,3.67316437940436,3.4921998534807925
2021-11-08,10.241141178418662,12.517088192820127,9.549523978791864,6.403771922614944,5.384791571770733,4.813517428510741,5.056420111015489,5.501452400511803,4.157299483719856,3.2517710554411825,3.2966790811412667,3.767073647000418,3.565573270178577,3.668150961234108,3.490566839754592
2021-11-09,9.395732804007098,11.527999480035977,8.82356799158354,5.983560203692111,5.221176243444447,4.696291420334607,4.936629609632329,5.376481136105115,4.062978508996743,3.1776106843205607,3.221994403607409,3.685992738999684,3.495107395273862,3.598798676545628,3.4268793044327532
2021-11-10,9.208912649840256,11.309717833076716,8.649196210342323,5.844762999563053,5.23437102798689,4.713210638009513,4.955543899324407,5.39685688573664,4.077331700802434,3.1888959581867424,3.2341712532053206,3.6996580605728413,3.5050555187898214,3.608825512886131,3.436677386789959
2021-11-11,9.716535088940057,11.925908732305462,9.102918702347527,6.1147171947498435,5.41513957621835,4.863066565987251,5.1081191695071695,5.559862882788842,4.19933383115081,3.283208604068403,3.328338890095837,3.8026034830906283,3.5979046716054457,3.7015737490357856,3.5166950593738076
2021-11-12,9.208912649840256,10.857238169067413,8.058467318790452,5.0756482170497454,5.184230846725608,4.785721570901966,5.050115347784796,5.445758684852301,4.087583980663642,3.235649235632352,3.321844570310284,3.878218262462099,3.604536753949419,3.531953100942273,3.2080554651218223
2021-11-15,9.45595825128844,11.597917224850608,8.85073056426309,5.852450812222419,5.318340433766212,4.801016006562059,5.0469842181803415,5.497320326565574,4.152405286513979,3.2459115330398114,3.2895812752612725,3.762928146347476,3.5599398897469117,3.6622796361614474,3.476849150386712
2021-11-16,9.763499213222977,11.972043586942565,9.105859719994285,5.88572803562937,5.337081124949884,4.815404665922386,5.060698849208006,5.512247634290141,4.16374502289721,3.2547188904308912,3.2983407509397704,3.772560962174756,3.5680564877627505,3.6700150308400326,3.4873903807567577
2021-11-17,9.103953535821196,11.209848265413612,8.616236854951328,5.76708750000459,5.251409393824528,4.737466094387288,4.978411063042022,5.425397843892659,4.100861030226566,3.2082800969142875,3.2569323204595992,3.73227827780613,3.53234345649306,3.6330570340423467,3.458401997239132
2021-11-18,9.254018703994074,11.395749563347502,8.762560929561868,5.814833081414562,5.291568017789539,4.7746367977347965,5.015814602208377,5.466108683141478,4.131787583999014,3.2314994936725894,3.27922916764123,3.7541710410499487,3.550199972127905,3.6485278233995175,3.4627941765599846
2021-11-19,9.531917163573475,11.739666964525199,9.038325531712497,5.900196393632393,5.359837678530056,4.833390490122793,5.075660264874547,5.531246025939589,4.18127007003493,3.269931598651847,3.3158597022967653,3.7909508832995633,3.585913003397596,3.6872047967924453,3.490025688349269
2021-11-22,9.005762746769808,11.082041123084062,8.544950767320554,5.784449529608216,5.274165947404701,4.76024813837447,5.003346755819592,5.451181375416912,4.1194169624900345,3.2202901297203064,3.2664881121088696,3.7357811199251416,3.53234345649306,3.629619080851864,3.4320489213140184
2021-11-23,9.328124959881915,11.481728913641927,8.860110312635559,5.9754318552481065,5.441493547258911,4.908930951764504,5.155454481762774,5.614024732412188,4.244154062705574,3.3195730675833883,3.3668239244262064,3.846996357203738,3.634612591492629,3.730179211673476,3.4926609959417805
2021-11-24,9.4744848152604,11.658335146679125,8.968915393756216,6.098412898273794,5.5633080399527755,5.016845896966948,5.268911883900722,5.738871306108568,4.341057264525911,3.398038615249373,3.4488444694157763,3.941573094417033,3.7222718500636884,3.809252135054573,3.556786814026225
2021-11-26,10.146999087442552,12.464682026467374,9.46229015814816,6.296629402915197,5.735990123002321,5.1679268202503685,5.418526040566148,5.9030716910788055,4.463732594489953,3.496520884258721,3.5467913338207957,4.049285489576618,3.8196710262537548,3.9063743126857027,3.640238221122419
2021-11-29,8.992794151989436,11.079717356859888,8.481168478387755,5.940707796040853,5.440154926460077,4.9101300067111975,5.157948051040531,5.623523928236914,4.253432028837309,3.334785775804345,3.3931023514617,3.8916575942211273,3.6808772001829104,3.7679966967687837,3.527798430508599
2021-11-30,8.461081765994182,10.470890606126396,8.02906460683468,5.691852038388875,5.220621115451354,4.714684050400105,4.958462508819965,5.410470536168092,4.095706604597825,3.21228344118296,3.2712660079335043,3.7594253042284653,3.5599398897469117,3.6536847531852414,3.442590151684064
