date,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15
2002-03-19,135.8666212691739,58.64951314939225,32.3034460702507,24.51939949991907,19.973624483320993,17.291924764987915,16.03488529276621,15.278933619138181,14.541758470378182,14.276931201604208,14.09585501263091,14.087993342130849,13.838021891019833,13.826679768791042,13.957708542406424
2002-03-20,134.09304591241647,57.95680236416321,31.98424205769882,24.294987964503974,19.79750434759632,17.145323868716318,15.910937847460042,15.166173961432364,14.427681917555233,14.158253469255046,13.97794740064738,13.96950727533412,13.720998450080977,13.709205854017966,13.83856463679476
2002-03-21,137.6401966259313,59.27295285609839,32.72479536681919,24.860895314681176,20.261821069052274,17.550221582228346,16.282780183378545,15.523246210834117,14.769911576024084,14.49648500645016,14.308088714201261,14.29534395902512,14.042812912662834,14.032259119643927,14.166210377226836
2002-03-22,136.2428342236376,58.857326384960956,32.50773663828391,24.69502591893958,20.117722776186632,17.410601681017305,16.145785638566466,15.385428851415895,14.637822935913299,14.360005614248623,14.172494960420202,14.159084982208883,13.908235955583148,13.897164117654889,14.029194885773423
2002-03-25,134.3080247435386,58.118434880716656,32.175764465229946,24.499885453361237,19.98162994403575,17.305886755109018,16.060979491778035,15.316520171706784,14.577782644953853,14.306600634691499,14.119436535027615,14.111690555490194,13.867277751254548,13.856048247484312,13.98749451880934
2002-03-26,136.2965789314181,58.857326384960956,32.571577440794286,24.792596151728755,20.221793765478488,17.515316606925587,16.250162434613763,15.491924083693613,14.739891430544361,14.460881686745411,14.272716430606204,14.259798138986103,14.01355705242812,14.002890640950657,14.13642440082392
2002-03-27,139.03755902822505,59.965663641327424,33.1333765028856,25.17312005960653,20.501984890495013,17.731727453802705,16.43934537744949,15.654799144824235,14.87798409975109,14.58549330571203,14.384728661990556,14.354586992423483,14.089622289038376,14.073374989814504,14.207910744190919
2002-03-28,141.40232617056824,60.88927802163282,33.60579844146239,25.4951018278108,20.75015417265251,17.934176310558723,16.60895767102635,15.80514535509866,15.004068710765928,14.698237151443735,14.479054751577378,14.431602935841356,14.148134009507805,14.11449085998508,14.237696720593833
2002-04-01,144.46577451405832,62.36706103012145,34.35911991108484,25.99271001503558,21.110399904816617,18.21341611298081,16.837281912379815,15.993078117941687,15.166177496356438,14.828782657027812,14.585171602362555,14.520467485938903,14.21834807407112,14.173227817371616,14.2853542828385
2002-04-02,148.9265852598421,64.28356086925513,35.393340911752944,26.70497271439654,21.638760311990637,18.639256811674496,17.209124248298316,16.331357091059136,15.478387009345566,15.125476987900717,14.868149871123025,14.7811368328917,14.452394955948833,14.384680863963153,14.481941727097745
2002-04-03,148.12041464313418,63.867934398117704,35.189050343719735,26.55861736521278,21.542694783413545,18.569446861068975,17.15041230052171,16.274977262206228,15.424350747482062,15.072072008343595,14.815091445730436,14.727818102833174,14.399734407526347,14.331817602315269,14.428326969572495
2002-04-04,142.8534332806425,61.90525383996874,34.142061182549554,25.81708359601507,20.958296151236215,18.073796211769768,16.69376381781478,15.842731907667263,15.01607676895782,14.674501604973903,14.420100945585615,14.336814082403974,14.019408224475063,13.955901075041428,14.053023666895754
2002-04-05,140.86487909276298,60.981639459663356,33.580262120458244,25.39753159502163,20.622066801216384,17.80153740440823,16.465439576461314,15.648534719396135,14.84195992517542,14.514286666302533,14.272716430606204,14.200555105587737,13.896533611489263,13.844300856007004,13.95175134712584
2002-04-08,142.63845444952037,61.76671168292294,33.89946613301012,25.57315801404214,20.726137790508236,17.8643663599532,16.50458087497905,15.67359242110854,14.84195992517542,14.49648500645016,14.237344147011143,14.153160678869048,13.838021891019833,13.779690202881813,13.886222199039425
2002-04-09,138.76883548932238,60.104205798373236,33.031231218869,24.938951500912513,20.25381560833752,17.480411631622825,16.165356287825333,15.360371149703491,14.559770557666017,14.229460108664544,13.983842781246556,13.910264241935758,13.615677353236006,13.57411085202893,13.695591950060763
2002-04-10,140.43492143051876,60.72764550507938,33.286594428910504,25.104820896654108,20.35788659762937,17.557202577288898,16.224068235601937,15.423015403984502,14.619810848625466,14.294732861456582,14.048691967837497,13.975431578673957,13.680040245752377,13.638721505154122,13.761121098147179
2002-04-11,134.3080247435386,58.164615599731924,31.933169415690518,24.148632615320217,19.621384211871646,16.9428750119603,15.682613606106576,14.921861369736426,14.16950866642961,13.873426911617058,13.653701467692676,13.59627616492443,13.317267578841921,13.28042606509624,13.403689381312187
2002-04-12,127.32121273207001,54.447067719002725,29.87749557485638,22.694836146761546,18.508625172520293,16.03534565408851,14.886740536245927,14.20771687093292,13.533081582259465,13.291906023106161,13.123117213766795,13.12233189773752,12.90768553555592,12.922130625038358,13.082000836160695
2002-04-15,132.04909089026086,57.20645381130824,31.45829206163256,23.83264097146775,19.42609529132132,16.83569227238673,15.628103944980651,14.906819014850432,14.197104825007242,13.94819388299703,13.775168554754952,13.759056763373994,13.524350265330142,13.516895715811042,13.666825967021005
2002-04-16,133.16724851473484,57.716811468992255,31.728485981180324,24.028955971232723,19.587174025080206,16.976223927415003,15.75943254956032,15.032880909267774,14.317931249049858,14.067613351173373,13.893817724046555,13.872177524301778,13.63597609288934,13.628800299079195,13.774250799949554
2002-04-17,138.70479103593934,59.82783632577613,32.77066252800741,24.75532147036312,20.142895656548355,17.425925223505466,16.15998479352831,15.398460403078058,14.65020391516705,14.37810396843187,14.190440647275558,14.157956288750913,13.900353052897966,13.8761683252509,14.012972650901888
2002-04-18,139.92943986274418,60.17580745601524,32.860727167856666,24.77495297033962,20.126787783172464,17.39781889249981,16.114019781925425,15.341732550590255,14.58374938194361,14.29451034070843,14.089588853377697,14.032928079304417,13.759352007560032,13.723035737620798,13.845867355235255
2002-04-19,140.781369481391,60.68616511369925,33.14378746452576,25.010530970057587,20.336190137059013,17.594563209539388,16.311012688794932,15.530825392216265,14.764989018007533,14.473639542972945,14.273495065779677,14.217493531344482,13.941478357788196,13.90561689979515,14.030876789723314
2002-04-22,140.5683870767293,60.75575933974708,33.24671848149633,25.118504219928322,20.440891314002286,17.692935368059178,16.40950914222968,15.631674907750137,14.867691478443755,14.581117064331657,14.380279318142119,14.324660568012908,14.047229141791647,14.011631768154453,14.138301622651863
2002-04-23,141.7397903023687,61.173324696033994,33.46544689255881,25.265740469752053,20.545592490945563,17.770227778324724,16.468607014290534,15.682099665517072,14.90998072685867,14.622913878193375,14.42180652739418,14.366336637828407,14.088354446681876,14.046970057607556,14.174109900294711
2002-04-24,140.46189587439844,60.639768963000705,33.23385210437501,25.098872719951828,20.416729503938456,17.664829037053522,16.376676991084764,15.593856339424935,14.825402230028839,14.539320250469936,14.344684567354639,14.294891946716124,14.023728967568658,13.988072908519053,14.114429437556627
