date,RB1,RB2,RB3,RB4,RB5,RB6,RB7,RB8,RB9,RB10,RB11,RB12,RB13,RB14,RB15
2018-11-06,1.1366771151529602,1.1075257110129266,1.1863255511421815,1.128329777125806,1.1560009687495438,1.183445646956501,1.2174412591145736,1.1999540778110735,1.2401122511884382,1.3724790508039335,1.410704236030261,1.487505033251818,1.4672710088043501,1.5120404600874833,1.5498494513341459
2018-11-07,1.1054084294586697,1.0766680973917235,1.154782524166287,1.0993443148020174,1.1302919888716243,1.1572502220031815,1.190786550147075,1.174398003296598,1.2158280687239125,1.3484729968081555,1.3873914136299867,1.4639895159472436,1.4462774742877562,1.4928081756742844,1.530566306391797
2018-11-08,1.1033283237579767,1.0739762630120016,1.1498867106667023,1.0935603676716468,1.1239099001899862,1.149660893278388,1.1819226021177889,1.1651953292621882,1.206243911377913,1.3378116979036863,1.3737856367342633,1.448284206556102,1.43042693417081,1.4762736325136152,1.5136824467648553
2018-11-09,1.0879623816464048,1.0590070376808647,1.1325415428396028,1.0775887863911917,1.1092792629292498,1.1353390955235358,1.1679665988376362,1.152075300740158,1.192839042657495,1.3225087450544137,1.3562015625006092,1.429862303108114,1.4122999866966426,1.457563491568648,1.4944881642415955
2018-11-12,1.0982287097820838,1.0681330127730928,1.1400950836675334,1.0833727335215624,1.112771349189014,1.1378484703438305,1.169475355949004,1.1526971030397803,1.1927095270176844,1.3219285383113135,1.3557241668200575,1.429098261029626,1.4112039387098323,1.456084085075325,1.4930663655361687
2018-11-13,1.0351545369223563,1.0056299315658899,1.0734420798803326,1.0200122217752308,1.053586507924389,1.0776846789206695,1.1080563685404043,1.0923822799764191,1.1300887151691612,1.251288367338843,1.2785451984642,1.346327035860095,1.3292532738498757,1.371496843221798,1.4066032317624102
2018-11-14,1.038174045197556,1.0182355950026367,1.097151805256892,1.1619818331570528,1.0719500649800457,1.0904151658138714,1.116040208254726,1.0958021926243418,1.1274336445530397,1.1754988615213566,1.2705886037883385,1.3442046967531838,1.332878663344709,1.381678640852315,1.4244645779993326
2018-11-15,1.0466240192343812,1.0165268551193192,1.0869842881755472,1.033795382598548,1.067891585698079,1.0939621274234088,1.124353765463165,1.1075813185830214,1.143914613867095,1.2663364326595765,1.2919468114026071,1.356521501561886,1.3343108902407896,1.3752411077120976,1.4102525280411886
2018-11-16,1.06137854821738,1.031198376739598,1.10288800231552,1.0461594027447114,1.0797889334505097,1.1053996158405046,1.1355834237648397,1.1182925732757993,1.1545337283846855,1.278645331851223,1.3030104889349334,1.3645695336968782,1.3399686859275268,1.3798336210199384,1.4146532411662
2018-11-19,1.0637473946137332,1.0334908019927664,1.106137891726732,1.0493670494807443,1.0830771451408803,1.1086412569426762,1.138927086068147,1.1219882693393892,1.1593188849265625,1.284488163745992,1.3094710305596495,1.3717613922004883,1.3475687099843379,1.387025670162406,1.4217823964287186
2018-11-20,1.0011421684244028,0.9698923756834327,1.0373370414255445,0.9906379537864682,1.0229327640406525,1.0471112390410802,1.0752713263693292,1.058722963844035,1.0931788445052744,1.2066616429076702,1.2312177201302754,1.2939352091078504,1.274608479038952,1.3127655964865652,1.3459141021535201
2018-11-21,1.011362048591526,0.9807650211698895,1.0505440388200438,1.0020105194869486,1.0356073254653524,1.0606894338464026,1.0896553830703506,1.073443109182063,1.1089764161024305,1.2270726023267295,1.253748859046473,1.319277948596762,1.3007863396790789,1.3399740715556598,1.3742546946785943
2018-11-23,0.9312950403947933,0.9034775412059205,0.9696425364558333,0.9345916171805106,0.9672723079727478,0.9916975251058454,1.0193122987649175,1.0042271066351658,1.0373301681535028,1.143247440743112,1.1675813851268217,1.2295509520279122,1.2128793947552978,1.2538427842350233,1.291169230878377
2018-11-26,0.9632406260827543,0.9341305417340031,1.0004819125707374,0.9585614864261387,0.9908278608092187,1.0151841323366733,1.0434749905039136,1.0281551726740026,1.0622392022071099,1.1723836957916927,1.1976229036817518,1.2602019680313934,1.242772822712088,1.284950563056058,1.323206422428461
2018-11-27,0.9502458115656176,0.9234543898406752,0.9911471238364055,0.952321155503311,0.9855667221046263,1.0111473717188748,1.0400682402326193,1.025336421439061,1.0596827487121345,1.1698128497579945,1.1945541464100116,1.2566060387795883,1.2393950342423943,1.281571166471043,1.319773866190952
2018-11-28,0.9329193922094355,0.9060319579165941,0.9726158395341761,0.936107959273908,0.9681690929792124,0.9928596228594541,1.0214572896764733,1.0074843302844314,1.0419186744265356,1.1490902726378809,1.1741226835218468,1.2356297848107256,1.219043858712489,1.2606882285995407,1.2999706571284002
2018-11-29,0.9677752748986301,0.9380604135965778,1.0043541212309046,0.9620024165611558,0.9938769298311985,1.0185480995181722,1.0475757084230646,1.0328530913989051,1.0677454097347494,1.1780707188359345,1.2025490666705978,1.2639691320094748,1.2464039453170088,1.2883299596410727,1.327431107028472
2018-11-30,0.9488245037278058,0.9203759902149917,0.9858919835118926,0.9445061616373397,0.9761205867031988,1.0001991876190879,1.0282077022510754,1.0138108608339669,1.0482770331191669,1.1552447222337041,1.1795333871325464,1.2407668265990186,1.2236038731465757,1.2657139978798193,1.3056915841909151
2018-12-03,0.9687904947827815,0.9419902854591524,1.0098858478882866,0.9673096138880468,1.0005131388790367,1.0254595230001606,1.0545153849016273,1.0402444835260851,1.0767913221015857,1.1893668604991543,1.216762258244973,1.2820343956316385,1.2657417843060057,1.3089529439291125,1.347058287566023
2018-12-04,0.9769122538559919,0.9491950505405394,1.016523919877145,0.9730250571631601,1.0066710625900939,1.032676761680467,1.062653732771942,1.049201848561566,1.0872793364399465,1.2032338481960725,1.2329943690770724,1.300955832885184,1.2848262891597757,1.3279295555218886,1.365629296953572
2018-12-05,0.9784012430194138,0.9491295526761632,1.0149335484631477,0.9701673355256034,1.0031437082313328,1.0281506967453597,1.0571019915890918,1.0431258736773588,1.080658777388856,1.1949759791181325,1.2241918811133967,1.2912810708505655,1.2762129285620565,1.3186578777117195,1.356123756603547
2018-12-06,0.9701441212949832,0.9387808901047165,1.0035243622322976,0.9592613366230913,0.9913061461459998,1.015734599693646,1.0437273423758615,1.0294079510006433,1.065713356956692,1.1776811967096166,1.2064253916454275,1.2721027815076054,1.257297313131771,1.2998545685079186,1.336672604590996
2018-12-07,1.0056091359146686,0.9723157966653538,1.0378902140912825,0.9874886279001813,1.0194651953489893,1.0439919240182358,1.0728108956178386,1.058284491429711,1.0959319482690941,1.212348665951912,1.240423991945496,1.3063497267628916,1.2899774165760587,1.332782022413192,1.3695899387660821
2018-12-10,0.9603303290815206,0.9294146954989135,0.9934289610825755,0.9514463427571201,0.9831752954207206,1.008272708854685,1.0369138418332724,1.023206698283772,1.059813848891364,1.1694233276316766,1.1960885250458817,1.2601163506682551,1.2453906087761006,1.2870301917237594,1.3225023083284588
2018-12-11,0.9744757261340287,0.9417937918660237,1.0055296131455984,0.9608359995662348,0.9920833598182692,1.016835534407591,1.0456199814154696,1.0318508687375927,1.068925311347815,1.1801741383180513,1.207152202578208,1.2713322252393615,1.2553550847616972,1.2967351255063664,1.3326239485159854
2018-12-12,0.9613455489656719,0.9317726186164583,0.996333117577701,0.9549455937418834,0.9864635071110908,1.01157551299652,1.04025750413658,1.0264639219330378,1.0630913533721016,1.1732406444695922,1.1997225797097844,1.262856106288678,1.246235055893524,1.2873767965017096,1.3234704652159615
2018-12-13,1.000465355168302,0.9693028949040465,1.0349169110129397,0.9850974730605931,1.0163563406599119,1.041423076352364,1.0707920806422568,1.056655879605078,1.0945553963871841,1.210089437619268,1.2370322075925202,1.3016407717902896,1.2821240583840205,1.3235103446030232,1.3601724126785577
2018-12-14,0.9733251435986572,0.9539763946400053,1.1404345970025,0.9687093142819521,0.9950128575060536,1.014755991059028,1.0398789763286584,1.021515447542807,0.9927561072154691,1.1632688780358533,1.1968960927489711,1.2678219133506945,1.257719536690483,1.3058335009275603,1.4983548048039188
2018-12-17,0.9536751242312425,0.9257571805299843,0.9922815587881786,0.9484506454355406,0.9799728305232136,1.0046224908321397,1.0326586822107764,1.0179157071701543,1.0531095181674779,1.1631111909645189,1.1893436919097378,1.2517107411545974,1.2339177395522347,1.2742258016384749,1.310948347690973
2018-12-18,0.9083134535430066,0.8805525511768262,0.9471556466685191,0.9050760250037895,0.9351031539186436,0.958483727359209,0.9849056795651913,0.9703057673895874,1.0003128747633712,1.103849411533582,1.1277529698700832,1.1870128833075566,1.1711178164941227,1.210852786435002,1.2538388065726154
2018-12-19,0.9268766372323888,0.897043510382914,0.9602842949847936,0.9178741439829844,0.9489459264881386,0.9731475098991431,1.0005270075582948,0.9860069177427531,1.0180293954778508,1.1242354636578242,1.1489883443117606,1.208864477679736,1.1922750098238608,1.2324338672880766,1.2734726460839743
2018-12-20,0.8828650162670173,0.8559131180100833,0.9221196196467867,0.8824911091581514,0.9126086484932143,0.9360278930093516,0.9622357035751995,0.9482101969329148,0.9759614817494449,1.0779322599957857,1.102205431269751,1.1604481999531429,1.1440836250172348,1.1832769609005178,1.2290627709987576
2018-12-21,0.8816499715164395,0.8531969600231982,0.9174177316451443,0.8773371155420955,0.9072982745333649,0.9306900307458609,0.9567110875776383,0.9427021320912801,0.9708794519030601,1.0722431291704158,1.096266035353113,1.153592797797165,1.1376189270553705,1.177453494638577,1.2234531025669408
2018-12-24,0.8362883008282036,0.809091727950446,0.8739405335000868,0.8357577063698695,0.8643976129925593,0.8868827473420411,0.911625140930876,0.8982577468173997,0.9213296609008101,1.0167741036230589,1.038824754296315,1.0931795662976105,1.078429160001936,1.1171634909855437,1.1686809232951738
2018-12-26,0.8909653146042023,0.8613454339838534,0.9235240796992253,0.8833597597675991,0.9136826567098131,0.937561761475872,0.9640772422410532,0.9505527072678629,0.9785730804205036,1.0802237154671153,1.1031817703245408,1.1604481999531429,1.1442515392500106,1.1842189922075965,1.2296081554296288
2018-12-27,0.8674069469402226,0.8354125922519272,0.8982437987553297,0.8589796326624358,0.8883241293734536,0.9116087070223484,0.9373431809195222,0.9241519826820963,0.9497749112909907,1.0487754645157648,1.0717761973954696,1.1280564247661475,1.1124317921390154,1.1517617317182502,1.2000015720394843
2018-12-28,0.8784773546677086,0.8469239284820591,0.9090520348110531,0.8685347893663596,0.8977515348302649,0.921241400992096,0.9471858875818435,0.9336486462021562,0.9602213059752258,1.0595216005192414,1.0820277574707624,1.138767990634863,1.1229264316874965,1.1623809937253187,1.2096626676720579
2018-12-31,0.8789498720707112,0.8484760187602791,0.9107618122661959,0.8699825403821057,0.8995415485245962,0.9228979789359378,0.9485829169145601,0.9349781790949645,0.9625505696548187,1.0629192758732817,1.086258560041518,1.1439095422518462,1.1278799015543797,1.1673480678899153,1.2141036551805795
2019-01-02,0.894812956314365,0.8631562059751101,0.9252338571543681,0.8845758706208257,0.9152936690347112,0.939463758374357,0.9657917782402962,0.9520088623409387,0.9821728515616927,1.085201704939314,1.10993478212017,1.1687603750672657,1.1522274653068565,1.1921834387128978,1.2366981530309527
2019-01-03,0.9109460505025917,0.8786771087573103,0.9411714255755197,0.9006748619159215,0.9321794648845693,0.9569498588926887,0.9837626555656959,0.9692927899474477,1.0013716309813678,1.1064569298285434,1.1311701565618475,1.1908690470202943,1.173720487102146,1.2139357979854413,1.2563319925423118
2019-01-04,0.9097985082381573,0.8806818920333445,0.9482547893182538,0.9081452571571711,0.9405328621247817,0.9658462959985065,0.9929703488949644,0.978472898016839,1.0118886094134694,1.1184673171265465,1.1437812026862153,1.203980003643602,1.1862300974439357,1.2261822049774636,1.2669280329135213
